
NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          Lifan                                              Maria Wozniak                                                                                                                   117          1
PowerRide                                          Lifan                                              Piotr Zielinski                                                                                                                 116          2
PowerRide                                          Lifan                                              Tomasz Kaminski                                                                                                                 108          3
PowerRide                                          Lifan                                              Tomasz Wojcik                                                                                                                   108          3
PowerRide                                          Lifan                                              Katarzyna Wozniak                                                                                                               106          4
PowerRide                                          Lifan                                              Jan Dabrowski                                                                                                                   105          5
PowerRide                                          Lifan                                              Piotr Wozniak                                                                                                                   102          6
PowerRide                                          Lifan                                              Tomasz Zielinski                                                                                                                 98          7
PowerRide                                          Lifan                                              Katarzyna Dabrowski                                                                                                              97          8
PowerRide                                          Lifan                                              Anna Kowalski                                                                                                                    96          9
PowerRide                                          Aeon                                               Tomasz Wojcik                                                                                                                    88         10

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
PowerRide                                          CFMoto                                             Katarzyna Wozniak                                                                                                                85         11
PowerRide                                          Aeon                                               Tomasz Kaminski                                                                                                                  84         12
PowerRide                                          CFMoto                                             Tomasz Zielinski                                                                                                                 83         13
PowerRide                                          CFMoto                                             Anna Kowalski                                                                                                                    81         14
PowerRide                                          Aeon                                               Anna Kowalski                                                                                                                    80         15
PowerRide                                          Keeway                                             Katarzyna Dabrowski                                                                                                              80         15
PowerRide                                          Keeway                                             Maria Wozniak                                                                                                                    78         16
PowerRide                                          Keeway                                             Anna Kowalski                                                                                                                    78         16
PowerRide                                          Suzuki                                             Anna Kowalski                                                                                                                    77         17
PowerRide                                          Aeon                                               Tomasz Zielinski                                                                                                                 77         17
PowerRide                                          Aeon                                               Maria Wozniak                                                                                                                    77         17

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
